rank,archetype_rank,horse_name,grade,archetype,max_trueskill,current_trueskill,runs,wins,wps
1,1,Boss Pear,S+,RTF,39.067068867676085,36.92730646013574,32,21,28
2,1,Sweet As Sugar,S-,LDS,36.095347412576366,36.095347412576366,23,10,19
3,1,Belgrade Pond,S,LTS,37.53760791088154,35.79622857358514,29,13,25
4,2,Stunner Cat,S-,LDS,36.71359157840881,35.45965298861059,27,11,23
5,2,Nougat,S,RTF,36.427489726166435,35.32624734520812,29,9,20
6,2,I Said,S+,LTS,35.7650976934395,35.21496260964727,28,10,16
7,3,Mission Figgs,S,LTS,35.71686616024197,34.83545353749609,25,8,17
8,4,Majority Opinion,S+,LTS,35.665759083987965,34.678349362904704,28,10,20
9,1,Finally Time,S+,RDF,34.98080301553568,34.65113043232009,33,10,23
10,3,Poppa,S+,LDS,36.89740209601918,34.62932128190521,27,11,21
11,1,Lussi Bear,S-,LDF,36.15886366332058,34.61925485969794,29,10,20
12,3,Upper Guk,A+,RTF,34.688252327624554,34.516397619135326,29,10,24
13,5,Fill the Sail,S+,LTS,36.65888659652189,34.37336036465685,33,8,21
14,6,Getaway Car,S,LTS,35.51944624410042,34.31027115899881,35,7,21
15,2,Prince of Games,S,RDF,34.291314561132,34.291314561132,23,7,15
16,2,IWR-Schiava Grigia I,S-,LDF,36.33083546127404,34.23513328043324,28,11,19
17,4,Worn,S-,LDS,34.554773835098125,34.137016196440825,29,9,24
18,1,Wacky Warehouse,S-,RTS,34.3842299250166,34.0801060820442,24,9,20
19,3,Bad Manners,S,RDF,34.73699584484244,34.037511443332704,25,7,15
20,7,Ghost Trial,S+,LTS,35.881382699715026,33.94289143838579,29,10,17
21,4,Solari,S+,RDF,35.53374762010367,33.907114194199906,30,11,20
22,3,Closer,S,LDF,34.375296460985815,33.74906152680356,35,11,23
23,4,Persistent Royalty,S+,RTF,34.16224042334217,33.73600551967179,33,16,26
24,5,Use Brain,S,RDF,34.15470947915675,33.72842424200842,27,10,17
25,4,Dangerous Passion,S+,LDF,34.25975393012547,33.69145045928417,32,10,21
26,8,Aitkin,S,LTS,35.13664234134399,33.68773838637806,25,6,14
